system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Red,SWIR,Urban,.geo
2214,0.06133250000000001,4,0.09350750000000002,-0.11135706,0.48477152,0.2309525,0.695,0.0801425,0.18467,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0559338492819945,6.430814540190625]}"
2215,0.05597000000000002,0,0.07752999999999999,-0.22235398,0.21833521,0.11209750000000002,0.37,0.07191999999999998,0.07131500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.175683850936978,6.521364720829872]}"
2216,0.03332375,21,0.06071375000000001,-0.35287172,0.7692401,0.31147250000000004,0.735,0.040624999999999994,0.14898875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0164125510625865,6.632396489947046]}"
2217,0.019367499999999996,0,0.052945000000000006,-0.2995556,-0.00479269,0.05282125,0.59000003,0.05332999999999999,0.028469999999999995,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7428755470481927,6.597362193866385]}"
2218,0.030092500000000008,13,0.063835,-0.31542867,0.7727017,0.31469,0.645,0.04035,0.16377000000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.80027789370343,6.525137645023174]}"
2219,0.03386,10,0.06317499999999998,-0.3915706,0.7701083,0.35959749999999996,1.065,0.04670250000000001,0.157225,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0335657987074183,6.456955514958503]}"
2220,0.023822499999999996,13,0.05128124999999997,-0.36551934,0.795651,0.315295,0.575,0.03588125,0.14650000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7884201319530524,6.524598655852703]}"
2221,0.03672,11,0.06819375,-0.3116927,0.71493274,0.31379625,0.835,0.05216124999999999,0.16466375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0125452210590216,6.45264360159473]}"
2222,0.03364,9,0.08424000000000001,-0.33522603,0.6817315,0.30540875,0.625,0.057798749999999996,0.152055,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.920378072908359,6.398475189962323]}"
2223,0.0265725,0,0.06732749999999998,0.09626516,-0.2358562,0.0327875,2.9850001,0.053027500000000005,0.03977249999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.455055330016298,6.48579143557874]}"
2224,0.046674999999999994,0,0.07791500000000001,-0.2865564,-0.22961895,0.050744999999999985,2.02,0.08099499999999998,0.02814,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.5914195901456414,6.552626092717232]}"
2225,0.02134749999999999,13,0.046097499999999986,-0.36919,0.84647584,0.32753250000000006,0.59000003,0.027232499999999993,0.15089999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7865336698564014,6.565022843638082]}"
2226,0.024070000000000008,2,0.049425,-0.13648038,0.4105657,0.11781750000000002,1.67,0.049232499999999985,0.08951999999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6423540667552183,6.566370316564261]}"
2227,0.09584500000000001,7,0.08500999999999997,-0.29710293,-0.20261392,0.14383249999999997,0.59,0.2169275,0.07794250000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.7287674228056646,6.441594323600059]}"
2228,0.02439999999999999,0,0.05899499999999999,-0.17335355,-0.16283691,0.04160124999999999,1.765,0.057785,0.029308749999999995,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.5173085792057805,6.492528800209636]}"
2229,0.06783625000000001,6,0.1051675,-0.035056762,0.41181642,0.29108125,3.02,0.12126874999999998,0.27136375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.625106413300123,6.444289269452418]}"
2230,0.03694,16,0.08045875,-0.21328048,0.60971385,0.3018475,1.4200001,0.07318499999999997,0.19572499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7663215759637123,6.49037284352775]}"
2231,0.007762499999999992,0,0.036651249999999996,-0.037472505,0.08171301,0.03330999999999999,0.45499998,0.028277499999999997,0.030903749999999994,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.115586558429382,6.519747753318458]}"
2232,0.039731249999999996,14,0.06383499999999998,-0.33399212,0.725503,0.31976375,0.635,0.05086874999999999,0.159645,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9304437783723487,6.642098295015536]}"
2233,0.10384749999999998,2,0.09196749999999998,-0.15425503,0.23298946,0.24456500000000003,0.635,0.15213749999999998,0.1791975,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.7691916105910432,6.418417789269776]}"
2234,0.06113999999999997,9,0.09507500000000002,-0.078150816,0.42720082,0.2447025,0.985,0.09821000000000002,0.2092275,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.86890460712831,6.439168872332937]}"
2235,0.034245,9,0.06772624999999999,-0.2373433,0.72567993,0.32078125,0.745,0.050992499999999996,0.19771875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.736407677002532,6.505464540300958]}"
2236,0.026393749999999994,18,0.05856875,-0.346822,0.7436175,0.29218125,1.1,0.04296249999999999,0.14170125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6776578574211154,6.495762735232466]}"
2237,0.01097999999999999,0,0.0368025,-0.044676743,-0.083528034,0.029418749999999994,7.92,0.03478125,0.026902499999999996,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.037163634125748,6.4712387279760035]}"
2238,0.028524999999999995,16,0.059187500000000004,-0.3087934,0.72804165,0.293955,0.57500005,0.046262499999999984,0.15524500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.88678565556414,6.683061471971387]}"
2239,0.03471250000000001,24,0.07233250000000002,-0.23105359,0.6582902,0.32219749999999997,0.545,0.06639250000000002,0.2012525,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8625311428929128,6.665813818516292]}"
2240,0.03361249999999999,0,0.0622675,-0.12998344,-0.15298013,0.03837,1.52,0.05223,0.029542499999999985,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.508684752478233,6.499535659425768]}"
2241,0.045079999999999995,45,0.08546375,-0.13024643,0.57418233,0.29286875,5.66,0.07922125,0.22537000000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.527549373444743,6.645332230038367]}"
2242,0.022626249999999987,17,0.05025,-0.3264038,0.74417174,0.27069,2.865,0.039703749999999996,0.13746625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.612709662379274,6.6423677896007725]}"
2243,0.02721875,12,0.07099875,-0.32404774,0.7445942,0.36568875,1.5350001,0.05353625000000001,0.18669125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.843936016511639,6.451565623253786]}"
2244,0.03137125,9,0.0649075,-0.29399887,0.75509566,0.323655,0.515,0.045162499999999994,0.17658500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8350426951988554,6.583078980848884]}"
2245,0.031604999999999994,1,0.07381749999999998,-0.23774613,0.6479477,0.2849075,4.745,0.060865,0.1754575,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2720685066411512,6.485252446408268]}"
2246,0.037242499999999984,5,0.07480749999999997,-0.2792953,0.75039274,0.32731250000000006,2.505,0.046674999999999994,0.18439499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.084055691956787,6.433509486042984]}"
2247,0.06217125000000001,10,0.09921375000000002,-0.08480923,0.54181695,0.26399375,0.65,0.07845125,0.22271625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0239583994491905,6.650991616328319]}"
2248,0.03777875,20,0.07627875,-0.18635279,0.6957181,0.32716124999999996,1.37,0.058706250000000015,0.22438000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6442405288518693,6.64775768130549]}"
2249,0.04816000000000001,0,0.08776,-0.27100623,-0.071223274,0.073515,40.77,0.08478999999999998,0.04216500000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4687995538633265,6.4510266340833144]}"
2250,0.06149749999999998,18,0.09920000000000001,-0.09039219,0.5288425,0.2756675,0.525,0.084955,0.22996250000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9045722981897066,6.655842518862565]}"
2251,0.028043750000000006,0,0.060865,-0.19629267,0.049243767,0.05727625,1.885,0.0519,0.03848,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2806923333686986,6.410063457127464]}"
2252,0.047871250000000004,12,0.09528124999999998,-0.061419733,0.4270031,0.2263325,38.85,0.09088125000000002,0.20013875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.051177352558012,6.445906236963833]}"
2253,0.027975,11,0.059545000000000015,-0.24520981,0.7436564,0.27839,0.61,0.040927500000000006,0.1687475,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.811596666283336,6.535647933847374]}"
2254,0.028744999999999993,5,0.06617250000000002,-0.4472324,0.75740904,0.3321525,1.915,0.04585,0.126865,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.113066701351996,6.484713457237796]}"
2255,0.015214999999999992,0,0.044186249999999996,-0.28911912,0.13103376,0.054595000000000005,0.64,0.041944999999999996,0.03010625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.739641612025362,6.604908042252989]}"
2256,0.055997500000000006,7,0.091115,-0.2030059,0.61702657,0.28555375,0.98,0.06763,0.18918000000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.017221034818294,6.605177536838224]}"
2257,0.021595000000000003,9,0.054815,-0.36749408,0.78512406,0.3030025,2.975,0.03647249999999999,0.14014749999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2979399868237937,6.422729702633549]}"
2258,0.01796500000000001,0,0.06468750000000001,-0.074100405,-0.18297456,0.03966249999999999,1.49,0.05742750000000002,0.03419,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.541293597291772,6.502230605278127]}"
2259,0.07407875,25,0.09827875,-0.33690777,0.63018095,0.362485,0.505,0.08223250000000001,0.17978875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.946882948071736,6.659076453885396]}"
2260,0.032223749999999995,8,0.06358749999999999,-0.20253816,0.6820822,0.28202,0.70500004,0.0533025,0.18702125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8129441392095154,6.5165138182956275]}"
2261,0.03419,12,0.06818000000000002,-0.2915055,0.6849427,0.2746225,4.0150003,0.05135000000000001,0.15065250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.210893235792612,6.5857739267012425]}"
2262,0.06719,14,0.10211500000000001,-0.19872996,0.570866,0.29990874999999995,0.75,0.08193,0.20046875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.032582226176738,6.613531868980536]}"
2263,0.04241249999999999,5,0.08787,-0.28255486,0.6298642,0.2927175,0.865,0.066475,0.1637425,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.9974535242858136,6.446984215304776]}"
2264,0.03747625,0,0.0679875,-0.18908317,-0.20128857,0.04509374999999999,1.1800001,0.06782250000000001,0.030752499999999988,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6253759078853594,6.547236201012515]}"
2265,0.05156999999999999,7,0.1017575,-0.061186988,0.4438772,0.26708750000000003,0.78,0.10287125,0.23628749999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7752148972764954,6.437821399406757]}"
2266,0.01942250000000001,16,0.04480500000000001,-0.35357097,0.8256864,0.28983000000000003,0.595,0.02767249999999999,0.138415,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.828844319738431,6.632665984532282]}"
2267,0.021485000000000004,0,0.04689499999999999,-0.1321707,-0.12377565,0.03757250000000001,0.71000004,0.048187499999999994,0.028799999999999992,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.726975366519277,6.588468872553601]}"
