system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
846,0.10765625000000001,8,0.10888,-0.27001005,-0.12579077,0.23932625000000002,0.0,3.6952817,0.30820000000000003,0.1375625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.202363814875328,6.396858222450907]}"
847,0.0742025,39,0.06805625000000001,-0.37347868,-0.17275506,0.16236750000000003,7.0,1.6722549,0.2301825,0.07406499999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6399286154880954,6.687103890749925]}"
848,0.1498275,47,0.156345,-0.23804268,-0.1227684,0.1963025,0.0,1.1046585,0.2512475,0.120815,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.008597208090747,6.654764540521621]}"
849,0.0948,10,0.08511999999999997,-0.3947105,-0.2788824,0.19512000000000002,0.0,0.5378375,0.34603999999999996,0.08467999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.990002081709473,6.473664179243126]}"
850,0.0747525,27,0.04827000000000001,-0.30233923,-0.101298206,0.210795,0.0,0.629042,0.258315,0.11292249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.952811828946925,6.665544323931056]}"
851,0.06712125,11,0.05389374999999999,-0.42783883,-0.35112113,0.193855,0.0,0.62259185,0.4036525,0.07768125000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.081630240689664,6.67632410734049]}"
852,0.04336124999999999,10,0.032718750000000005,-0.40944627,-0.3045599,0.14152250000000002,15.0,1.6584388,0.26547875,0.0592975,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7148481101836635,6.494145767721052]}"
853,0.05540625000000002,15,0.04800874999999999,-0.46983057,-0.28498542,0.17552625,0.0,0.5889912,0.31544625,0.06331250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.051446847143248,6.579575551240818]}"
854,0.139625,9,0.15279749999999998,-0.25939542,-0.08011919,0.24580249999999998,0.0,0.45387277,0.28862,0.1445475,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.077857316496362,6.520017247903693]}"
855,0.08545000000000003,11,0.07871250000000002,-0.32722858,-0.28452206,0.1639625,0.0,0.81923515,0.2943675,0.08311249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8274968468122514,6.679827536948556]}"
856,0.06281749999999997,8,0.05828,-0.43690756,-0.39613295,0.09966750000000002,11.0,6.338371,0.23043000000000002,0.039057499999999995,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.222212008372518,6.408985478786521]}"
857,0.06595250000000002,7,0.06389,-0.30619845,-0.14454758,0.18236000000000002,6.0,2.7950423,0.24398750000000002,0.09686250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.825071395545129,6.456416525788032]}"
858,0.07277250000000002,8,0.06738250000000001,-0.23440261,-0.39017943,0.09427750000000001,12.0,5.875895,0.21492,0.05847249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6083977490155004,6.437012915651049]}"
859,0.10117999999999999,7,0.09991499999999998,-0.32785904,-0.20638268,0.14958,8.0,3.5918021,0.2273775,0.07571499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.939606594270368,6.592780785917375]}"
860,0.10819250000000002,29,0.11256500000000003,-0.29013807,-0.03696892,0.21992499999999998,7.0,3.4169633,0.23681000000000002,0.12100749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.961705150259708,6.627006598242328]}"
861,0.08699000000000001,10,0.09389249999999999,-0.3702339,-0.14815147,0.23749750000000003,0.0,0.6450246,0.32010750000000004,0.109155,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9342167025656507,6.683061471971387]}"
862,0.07917999999999997,6,0.07467000000000001,-0.34253755,-0.35279304,0.09991499999999998,26.0,14.208005,0.2088425,0.04893,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.182596304342847,6.52217320458558]}"
863,0.07673249999999998,20,0.06424750000000001,-0.380257,-0.16168205,0.24610500000000002,12.0,2.0450697,0.34103500000000003,0.1105025,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9606271719187647,6.604369053082516]}"
864,0.12181875,2,0.1252975,-0.21688884,-0.020403607,0.21388875,0.0,2.0276036,0.22279875000000002,0.13764500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.340884031686558,6.384191976944822]}"
865,0.05585999999999999,2,0.05179000000000002,-0.39580333,-0.2854451,0.16471875,0.0,0.84406567,0.29632000000000003,0.07130124999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.866573561671451,6.606255515179168]}"
866,0.04252249999999999,16,0.043842500000000006,-0.42659193,-0.31784564,0.12406,6.0,0.93952245,0.23967,0.04986499999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.874927893813762,6.498188186499589]}"
867,0.07478000000000001,15,0.0719475,-0.38528204,-0.2937783,0.18302000000000002,0.0,0.63569975,0.3352875,0.08121499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.062226630552683,6.6512611109135555]}"
868,0.04513500000000001,15,0.03672,-0.4350745,-0.31875217,0.139735,0.0,0.5911277,0.2704975,0.05500749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.774136918935552,6.587390894212658]}"
869,0.05873375,12,0.05150125,-0.36179614,-0.3540267,0.12597125,7.0,10.602186,0.26404875,0.05903625000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.1416331273869966,6.406560027519398]}"
870,0.07820374999999999,7,0.06167624999999999,-0.37792236,-0.28424335,0.24382250000000003,5.0,1.6255224,0.43747749999999996,0.11007625000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7606621896737593,6.645601724623603]}"
871,0.07246999999999998,9,0.067355,-0.42335436,-0.2907246,0.15736250000000002,35.0,9.107392,0.286365,0.06375249999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2286798784181783,6.497379702743881]}"
872,0.08928625000000001,13,0.08369000000000001,-0.2657931,-0.1802699,0.13705375,63.0,114.011536,0.19733375,0.07949625000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.316265618619832,6.5555905331548265]}"
